addressLine1;addressLine2;size;rooms;fee;price;soldDate;lat;lng
Skarpövägen 53;Västra Orminge, ;61;2;4350;1765000;2018-10-07T22:00:00.000Z;59.33362870000001;18.259476
Starrängsringen 28, 5 tr;Östermalm / Nedre Gärdet, Stockholm;71;3;2667;6800000;2018-10-05T22:00:00.000Z;59.3443819;18.085232
Hammarby Allé 67;Hammarby Sjöstad, Stockholm;88;4;4934;5850000;2018-10-04T22:00:00.000Z;59.3035143;18.090661
Kulfångsgatan 2;Vendelsö, Stockholm;110.5;4;6782;2450000;2018-10-04T22:00:00.000Z;59.1748914;18.1666823
Kellgrensgatan 10, 8tr;Kungsholmen, Stockholm;53.5;2;3474;3995000;2018-10-04T22:00:00.000Z;59.3364181;18.0151029
Lindhagensgatan 139 B, 8/8tr;Kungsholmen / Hornsbergs strand, Stockholm;70.5;2;2761;6300000;2018-10-03T22:00:00.000Z;59.3387302;18.0057726
Sickla Strand 86;Sickla, Stockholm;51;3;2104;3495000;2018-10-07T22:00:00.000Z;59.30272409999999;18.1253818
Urdavägen 7b;Djursholm, Stockholm;131;5;5976;7950000;2018-10-05T22:00:00.000Z;59.3992107;18.0502696
Edinsvägen 3, 7 tr;Nacka, Stockholm;28;1;1778;1600000;2018-10-04T22:00:00.000Z;59.31382559999999;18.1953018
Warfvinges Väg 18, 12 tr;Kungsholmen-Hornsbergs Strand, Stockholm;53.5;2;3473;4220000;2018-10-04T22:00:00.000Z;59.33676269999999;18.014518
Kungssätravägen 18, 2tr;Sätra, Stockholm;60.5;3;3843;2425000;2018-10-03T22:00:00.000Z;59.28649170000001;17.9227292
Jaktgatan 25, 4 tr;Norra Djurgårdsstaden, Stockholm;73;3;4336;5700000;2018-10-04T22:00:00.000Z;59.35756060000001;18.0871056
Narvavägen 16 B;Östermalm, Stockholm;50.8;2;2105;5050000;2018-10-07T22:00:00.000Z;59.3352983;18.092411
Landstormsvägen 16 d;Rimbo, Rimbo;69;2;4369;1350000;2018-10-04T22:00:00.000Z;59.7465193;18.3701762
Birger Jarlsgatan 109 b, 4tr;Vasastan, Stockholm;107;4;4800;9670000;2018-10-04T22:00:00.000Z;59.3488361;18.0592479
Mörbyhöjden 7, 3tr.;Mörbyskogen, Stockholm;58;2;3078;3215000;2018-10-05T22:00:00.000Z;59.3965028;18.0416572
Pyrolavägen 24, 11 tr;Skärsätra, Lidingö;69.5;3;3891;3300000;2018-10-04T22:00:00.000Z;59.3466816;18.1710536
Hägernäsvägen 5, 2tr;Hägernäs, Täby;56.4;2;3919;1860000;2018-10-03T22:00:00.000Z;59.4474392;18.1220139
Evenemangsgatan 12, 8tr;Arenastaden, Stockholm;122;4;5069;6400000;2018-10-04T22:00:00.000Z;59.37067090000001;18.0006685
Hamngatan 15 B;Centrala Sundbyberg, Stockholm;83;3;4413;5650000;2018-10-04T22:00:00.000Z;59.3574326;17.9651203
Skonertvägen 9B;Gröndal, Stockholm;64;2.5;4102;3050000;2018-10-05T22:00:00.000Z;59.31311179999999;18.0028378
Härnevi Skolväg 9 BV;Gamla Bro, Bro;29;1;1611;1300000;2018-10-04T22:00:00.000Z;59.5126754;17.6339083
Björnvägen 10, ½ tr;Herserud/Torsvik, Lidingö;80;4;4464;4750000;2018-10-04T22:00:00.000Z;59.3630634;18.127167
Ormingeringen 71,4tr;Orminge, ;61;2;4176;1865000;2018-10-03T22:00:00.000Z;59.33303840000001;18.2523624
Framnäsbacken 9;Skytteholm, Stockholm;90;3;2879;4100000;2018-10-04T22:00:00.000Z;59.35666020000001;17.9862666
Svängvägen 89;Snättringe, Stockholm;67;3;4511;3000000;2018-10-05T22:00:00.000Z;59.25492240000001;17.971674
Bergsgatan 34, 2 tr;Kungsholmen, Stockholm;80;3;5037;7000000;2018-10-04T22:00:00.000Z;59.3298596;18.0445785
Saltsjögatan 7;Centrum, Södertälje;45;1;3027;1370000;2018-10-04T22:00:00.000Z;59.1930782;17.6285739
Bergshamra allé 101;Bergshamra, Stockholm;69.5;2.5;4105;4140000;2018-10-03T22:00:00.000Z;59.3768308;18.0375033
Trehörningen 13;Kallhäll, Stockholm;64;3;4532;1760000;2018-10-05T22:00:00.000Z;59.4622995;17.8218537
Förrådsgatan 7, 4tr;Råsunda, Stockholm;42;2;2220;2900000;2018-10-04T22:00:00.000Z;59.3665902;17.9896573
Primusgatan 81, vån 6;Essingeöarna, Stockholm;76.5;3;4485;6000000;2018-10-04T22:00:00.000Z;59.3231512;18.0036863
Råsundavägen 117B;Gamla Råsunda, Stockholm;69;2;2238;4500000;2018-10-03T22:00:00.000Z;59.3650123;17.9936348
Tranebergsvägen 46, vån 3;Bromma - Traneberg, Stockholm;53;2;2396;3460000;2018-10-04T22:00:00.000Z;59.3344683;17.9818649
Svanholmsvägen 2A, 1tr.;Stocksund, Stockholm;85;4;3773;4900000;2018-10-05T22:00:00.000Z;59.3860997;18.0687525
Bygatan 3;Huvudsta, Stockholm;88;4;4183;4250000;2018-10-04T22:00:00.000Z;59.3520714;17.9830241
Alviksvägen 21, 3 tr;Bromma Äppelviken, Stockholm;51;2;2130;3800000;2018-10-04T22:00:00.000Z;59.3315953;17.9754884
Kungstensgatan 61;Vasastan/Norrmalm, Stockholm;32;1;1197;3320000;2018-10-03T22:00:00.000Z;59.33942709999999;18.0502672
Vinthundsgatan 113;Brotorp/Järvastaden, Stockholm;45;2;2571;2285000;2018-10-04T22:00:00.000Z;59.38296140000001;17.9784905
Grev Magnigatan 3;Östermalm, Stockholm;178;6;3952;17800000;2018-10-05T22:00:00.000Z;59.33213499999999;18.0863138
Synålsvägen 3;Bromma - Riksby, Stockholm;75;3;3692;3400000;2018-10-04T22:00:00.000Z;59.3402944;17.9507317
Springarvägen 20;Trångsund, Stockholm;74;3;3759;2300000;2018-10-04T22:00:00.000Z;59.232232;18.1286899
Bygatan 29;Huvudsta, Stockholm;90.7;3.5;4360;5550000;2018-10-04T22:00:00.000Z;59.3510314;17.985382
Njurundagatan 4;Vällingby, Stockholm;50.5;2;3099;1995000;2018-10-04T22:00:00.000Z;59.3608916;17.8886156
Runiusgatan 7;Kungsholmen/Fredhäll, Stockholm;75;3;3522;3920000;2018-10-03T22:00:00.000Z;59.3295394;18.0084382
Kolonigatan 2,;Mariekäll, Södertälje;25;1.5;2102;1210000;2018-10-04T22:00:00.000Z;59.18853839999999;17.6202839
Klostervägen 1A;Stocksund - Inverness, Stockholm;66;3;3752;3750000;2018-10-04T22:00:00.000Z;59.38635530000001;18.0404361
Kolbäcksgränd 14;Bagarmossen, Stockholm;54;2;3435;2620000;2018-10-03T22:00:00.000Z;59.2764584;18.1387682
Wivalliusgatan 17;Kungsholmen, Stockholm;42;1;2480;3160000;2018-10-04T22:00:00.000Z;59.32569879999999;18.0135311
Fridensborgsvägen 153;Järvastaden, Stockholm;76;3;4198;3710000;2018-10-04T22:00:00.000Z;59.3824153;17.9804836
Stureparken 11;Östermalm, Stockholm;62;2;2066;6000000;2018-10-04T22:00:00.000Z;59.34327289999999;18.0772955
Bergshamra allé 115;Bergshamra, Stockholm;69.5;3;4105;4460000;2018-10-04T22:00:00.000Z;59.3773962;18.0369928
Essinge brogata 10;Lilla Essingen, Stockholm;30;1;1975;2500000;2018-10-03T22:00:00.000Z;59.3251295;18.0066438
Björnvägen 36 C;Länna, Stockholm;22;1;1562;1795000;2018-10-04T22:00:00.000Z;59.209445;18.1399632
Oktavgatan 6, vån 3;Telefonplan/Midsommarkransen, Stockholm;36;1;1835;2630000;2018-10-03T22:00:00.000Z;59.2989293;17.9967156
Vickervägen 4 BV;Hallunda - Norsborg, Stockholm;58.5;2;3939;1650000;2018-10-03T22:00:00.000Z;59.2475167;17.8216809
Rödhakevägen 2, 5 tr;Gustavsberg Ösbydalen, Gustavsberg;84.5;3;5554;2610000;2018-10-04T22:00:00.000Z;59.3192397;18.406215
Tornslingan 20;Trångsund, Stockholm;77;3;4618;2310000;2018-10-04T22:00:00.000Z;59.2314745;18.1331149
Dianavägen 7c;Glömsta, Stockholm;20;1;1982;1755000;2018-10-04T22:00:00.000Z;59.24312219999999;17.92155
Lustigkullavägen 2, 1tr;Gröndal, Stockholm;68;3;2313;5100000;2018-10-03T22:00:00.000Z;59.3156548;18.0133512
Polhemsgatan 5, 5 tr;Kungsholmen, Stockholm;72;3;3193;6800000;2018-10-04T22:00:00.000Z;59.3284389;18.0352946
